researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,endDate,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,maxAge,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,symbol
,,"944,000,000","77,000,000","716,000,000",,"1,873,000,000","1,022,000,000",,"1,022,000,000","851,000,000","-120,000,000",,,,"217,000,000","4,071,000,000","3,049,000,000","2,198,000,000","-78,000,000",1,,"727,000,000","716,000,000",MMC
,,224000000,73000000,153000000,,1570000000,642000000,1546214400,642000000,928000000,-92000000,,,,65000000,3712000000,3070000000,2142000000,-418000000,1,,159000000,153000000,MMC
,,224M,73M,153M,,1.57B,642M,2018-12-31,642M,928M,-92M,,,,65M,3.71B,3.07B,2.14B,-418M,1,,159M,153M,MMC
,,"224,000,000","73,000,000","153,000,000",,"1,570,000,000","642,000,000",,"642,000,000","928,000,000","-92,000,000",,,,"65,000,000","3,712,000,000","3,070,000,000","2,142,000,000","-418,000,000",1,,"159,000,000","153,000,000",MMC
,,385000000,85000000,276000000,,1484000000,604000000,1538265600,604000000,880000000,-69000000,,,,106000000,3504000000,2900000000,2020000000,-219000000,1,,279000000,276000000,MMC
,,385M,85M,276M,,1.48B,604M,2018-09-30,604M,880M,-69M,,,,106M,3.5B,2.9B,2.02B,-219M,1,,279M,276M,MMC
,,"385,000,000","85,000,000","276,000,000",,"1,484,000,000","604,000,000",,"604,000,000","880,000,000","-69,000,000",,,,"106,000,000","3,504,000,000","2,900,000,000","2,020,000,000","-219,000,000",1,,"279,000,000","276,000,000",MMC
,,2297000000,235000000,1741000000,,5687000000,2584000000,1561852800,2584000000,3103000000,-274000000,,,,551000000,17497000000,14913000000,11810000000,-287000000,1,,1746000000,1684000000,MET
,,2.3B,235M,1.74B,,5.69B,2.58B,2019-06-30,2.58B,3.1B,-274M,,,,551M,17.5B,14.91B,11.81B,-287M,1,,1.75B,1.68B,MET
,,"2,297,000,000","235,000,000","1,741,000,000",,"5,687,000,000","2,584,000,000",,"2,584,000,000","3,103,000,000","-274,000,000",,,,"551,000,000","17,497,000,000","14,913,000,000","11,810,000,000","-287,000,000",1,,"1,746,000,000","1,684,000,000",MET
,,1744000000,229000000,1381000000,,4969000000,1985000000,1553990400,1985000000,2984000000,-234000000,,,,359000000,16302000000,14317000000,11333000000,-241000000,1,,1385000000,1349000000,MET
,,1.74B,229M,1.38B,,4.97B,1.99B,2019-03-31,1.99B,2.98B,-234M,,,,359M,16.3B,14.32B,11.33B,-241M,1,,1.39B,1.35B,MET
,,"1,744,000,000","229,000,000","1,381,000,000",,"4,969,000,000","1,985,000,000",,"1,985,000,000","2,984,000,000","-234,000,000",,,,"359,000,000","16,302,000,000","14,317,000,000","11,333,000,000","-241,000,000",1,,"1,385,000,000","1,349,000,000",MET
,,2471000000,217000000,2067000000,-145000000,5871000000,2763000000,1546214400,2763000000,3253000000,-265000000,,,,409000000,15667000000,12904000000,9796000000,-292000000,1,,2062000000,2010000000,MET
,,2.47B,217M,2.07B,-145M,5.87B,2.76B,2018-12-31,2.76B,3.25B,-265M,,,,409M,15.67B,12.9B,9.8B,-292M,1,,2.06B,2.01B,MET
,,"2,471,000,000","217,000,000","2,067,000,000","-145,000,000","5,871,000,000","2,763,000,000",,"2,763,000,000","3,253,000,000","-265,000,000",,,,"409,000,000","15,667,000,000","12,904,000,000","9,796,000,000","-292,000,000",1,,"2,062,000,000","2,010,000,000",MET
,,1079000000,184000000,912000000,47000000,4543000000,1358000000,1538265600,1358000000,3138000000,-262000000,,,,164000000,16284000000,14926000000,11741000000,-279000000,1,,915000000,880000000,MET
,,1.08B,184M,912M,47M,4.54B,1.36B,2018-09-30,1.36B,3.14B,-262M,,,,164M,16.28B,14.93B,11.74B,-279M,1,,915M,880M,MET
,,"1,079,000,000","184,000,000","912,000,000","47,000,000","4,543,000,000","1,358,000,000",,"1,358,000,000","3,138,000,000","-262,000,000",,,,"164,000,000","16,284,000,000","14,926,000,000","11,741,000,000","-279,000,000",1,,"915,000,000","880,000,000",MET
,,450300000,371800000,386300000,1046300000,1496600000,450300000,1561852800,450300000,,,,,,58200000,3972600000,3522300000,2476000000,0,1,,392100000,386300000,PFG
,,450.3M,371.8M,386.3M,1.05B,1.5B,450.3M,2019-06-30,450.3M,,,,,,58.2M,3.97B,3.52B,2.48B,,1,,392.1M,386.3M,PFG
,,"450,300,000","371,800,000","386,300,000","1,046,300,000","1,496,600,000","450,300,000",,"450,300,000",,,,,,"58,200,000","3,972,600,000","3,522,300,000","2,476,000,000",0,1,,"392,100,000","386,300,000",PFG
,,526000000,605500000,429900000,992700000,1518700000,526000000,1553990400,526000000,,,,,,73900000,3743900000,3217900000,2225200000,0,1,,452100000,429900000,PFG
,,526M,605.5M,429.9M,992.7M,1.52B,526M,2019-03-31,526M,,,,,,73.9M,3.74B,3.22B,2.23B,,1,,452.1M,429.9M,PFG
,,"526,000,000","605,500,000","429,900,000","992,700,000","1,518,700,000","526,000,000",,"526,000,000",,,,,,"73,900,000","3,743,900,000","3,217,900,000","2,225,200,000",0,1,,"452,100,000","429,900,000",PFG
,,242900000,457200000,236500000,1175200000,1299500000,124300000,1546214400,124300000,,,,,,11200000,3770600000,3646300000,2471100000,118600000,1,,231700000,236500000,PFG
,,242.9M,457.2M,236.5M,1.18B,1.3B,124.3M,2018-12-31,124.3M,,,,,,11.2M,3.77B,3.65B,2.47B,118.6M,1,,231.7M,236.5M,PFG
,,"242,900,000","457,200,000","236,500,000","1,175,200,000","1,299,500,000","124,300,000",,"124,300,000",,,,,,"11,200,000","3,770,600,000","3,646,300,000","2,471,100,000","118,600,000",1,,"231,700,000","236,500,000",PFG
,,569100000,216400000,456300000,1105000000,1674100000,569100000,1538265600,569100000,,,,,,109100000,4348100000,3779000000,2674000000,0,1,,460000000,456300000,PFG
,,569.1M,216.4M,456.3M,1.1B,1.67B,569.1M,2018-09-30,569.1M,,,,,,109.1M,4.35B,3.78B,2.67B,,1,,460M,456.3M,PFG
,,"569,100,000","216,400,000","456,300,000","1,105,000,000","1,674,100,000","569,100,000",,"569,100,000",,,,,,"109,100,000","4,348,100,000","3,779,000,000","2,674,000,000",0,1,,"460,000,000","456,300,000",PFG
,,1243600000,220100000,979400000,,1336300000,1291000000,1561852800,1291000000,45300000,-47400000,,,,264600000,9444500000,8153500000,8108200000,-47400000,1,,979000000,972700000,PGR
,,1.24B,220.1M,979.4M,,1.34B,1.29B,2019-06-30,1.29B,45.3M,-47.4M,,,,264.6M,9.44B,8.15B,8.11B,-47.4M,1,,979M,972.7M,PGR
,,"1,243,600,000","220,100,000","979,400,000",,"1,336,300,000","1,291,000,000",,"1,291,000,000","45,300,000","-47,400,000",,,,"264,600,000","9,444,500,000","8,153,500,000","8,108,200,000","-47,400,000",1,,"979,000,000","972,700,000",PGR
,,1567500000,221200000,1078400000,,1653000000,1614900000,1553990400,1614900000,38100000,-47400000,,,,484700000,9293800000,7678900000,7640800000,-47400000,1,,1082800000,1071700000,PGR
,,1.57B,221.2M,1.08B,,1.65B,1.61B,2019-03-31,1.61B,38.1M,-47.4M,,,,484.7M,9.29B,7.68B,7.64B,-47.4M,1,,1.08B,1.07B,PGR
,,"1,567,500,000","221,200,000","1,078,400,000",,"1,653,000,000","1,614,900,000",,"1,614,900,000","38,100,000","-47,400,000",,,,"484,700,000","9,293,800,000","7,678,900,000","7,640,800,000","-47,400,000",1,,"1,082,800,000","1,071,700,000",PGR
,,242200000,214500000,264700000,,320200000,288200000,1546214400,288200000,32000000,-46000000,,,,-17600000,8028800000,7740600000,7708600000,-46000000,1,,259800000,257900000,PGR
,,242.2M,214.5M,264.7M,,320.2M,288.2M,2018-12-31,288.2M,32M,-46M,,,,-17.6M,8.03B,7.74B,7.71B,-46M,1,,259.8M,257.9M,PGR
,,"242,200,000","214,500,000","264,700,000",,"320,200,000","288,200,000",,"288,200,000","32,000,000","-46,000,000",,,,"-17,600,000","8,028,800,000","7,740,600,000","7,708,600,000","-46,000,000",1,,"259,800,000","257,900,000",PGR
,,1130500000,217400000,928400000,,1208300000,1172500000,1538265600,1172500000,35800000,-42000000,,,,200300000,8490000000,7317500000,7281700000,-42000000,1,,930200000,921700000,PGR
,,1.13B,217.4M,928.4M,,1.21B,1.17B,2018-09-30,1.17B,35.8M,-42M,,,,200.3M,8.49B,7.32B,7.28B,-42M,1,,930.2M,921.7M,PGR
,,"1,130,500,000","217,400,000","928,400,000",,"1,208,300,000","1,172,500,000",,"1,172,500,000","35,800,000","-42,000,000",,,,"200,300,000","8,490,000,000","7,317,500,000","7,281,700,000","-42,000,000",1,,"930,200,000","921,700,000",PGR
,,900000000,493000000,708000000,3137000000,4014000000,877000000,1561852800,877000000,,-392000000,,,,162000000,15388000000,14511000000,11374000000,-369000000,1,,738000000,700000000,PRU
,,900M,493M,708M,3.14B,4.01B,877M,2019-06-30,877M,,-392M,,,,162M,15.39B,14.51B,11.37B,-369M,1,,738M,700M,PRU
,,"900,000,000","493,000,000","708,000,000","3,137,000,000","4,014,000,000","877,000,000",,"877,000,000",,"-392,000,000",,,,"162,000,000","15,388,000,000","14,511,000,000","11,374,000,000","-369,000,000",1,,"738,000,000","700,000,000",PRU
,,1169000000,440000000,932000000,3156000000,4296000000,1140000000,1553990400,1140000000,,-386000000,,,,232000000,15091000000,13951000000,10795000000,-202000000,1,,937000000,922000000,PRU
,,1.17B,440M,932M,3.16B,4.3B,1.14B,2019-03-31,1.14B,,-386M,,,,232M,15.09B,13.95B,10.79B,-202M,1,,937M,922M,PRU
,,"1,169,000,000","440,000,000","932,000,000","3,156,000,000","4,296,000,000","1,140,000,000",,"1,140,000,000",,"-386,000,000",,,,"232,000,000","15,091,000,000","13,951,000,000","10,795,000,000","-202,000,000",1,,"937,000,000","922,000,000",PRU
,,1067000000,414000000,842000000,1820000000,4585000000,2765000000,1546214400,2765000000,,-1423000000,,,,218000000,18744000000,15979000000,14159000000,-1698000000,1,,849000000,831000000,PRU
,,1.07B,414M,842M,1.82B,4.58B,2.77B,2018-12-31,2.77B,,-1.42B,,,,218M,18.74B,15.98B,14.16B,-1.7B,1,,849M,831M,PRU
,,"1,067,000,000","414,000,000","842,000,000","1,820,000,000","4,585,000,000","2,765,000,000",,"2,765,000,000",,"-1,423,000,000",,,,"218,000,000","18,744,000,000","15,979,000,000","14,159,000,000","-1,698,000,000",1,,"849,000,000","831,000,000",PRU
,,1859000000,357000000,1672000000,2960000000,4798000000,1838000000,1538265600,1838000000,,-1423000000,,,,184000000,16148000000,14310000000,11350000000,21000000,1,,1675000000,1653000000,PRU
,,1.86B,357M,1.67B,2.96B,4.8B,1.84B,2018-09-30,1.84B,,-1.42B,,,,184M,16.15B,14.31B,11.35B,21M,1,,1.68B,1.65B,PRU
,,"1,859,000,000","357,000,000","1,672,000,000","2,960,000,000","4,798,000,000","1,838,000,000",,"1,838,000,000",,"-1,423,000,000",,,,"184,000,000","16,148,000,000","14,310,000,000","11,350,000,000","21,000,000",1,,"1,675,000,000","1,653,000,000",PRU
,,665000000,,557000000,1125000000,1879000000,754000000,1561852800,754000000,,-89000000,,,,108000000,7834000000,7080000000,5955000000,-89000000,1,,557000000,553000000,TRV
,,665M,,557M,1.12B,1.88B,754M,2019-06-30,754M,,-89M,,,,108M,7.83B,7.08B,5.96B,-89M,1,,557M,553M,TRV
,,"665,000,000",,"557,000,000","1,125,000,000","1,879,000,000","754,000,000",,"754,000,000",,"-89,000,000",,,,"108,000,000","7,834,000,000","7,080,000,000","5,955,000,000","-89,000,000",1,,"557,000,000","553,000,000",TRV
,,967000000,,796000000,1057000000,2112000000,1055000000,1553990400,1055000000,,-88000000,,,,171000000,7671000000,6616000000,5559000000,-88000000,1,,796000000,791000000,TRV
,,967M,,796M,1.06B,2.11B,1.05B,2019-03-31,1.05B,,-88M,,,,171M,7.67B,6.62B,5.56B,-88M,1,,796M,791M,TRV
,,"967,000,000",,"796,000,000","1,057,000,000","2,112,000,000","1,055,000,000",,"1,055,000,000",,"-88,000,000",,,,"171,000,000","7,671,000,000","6,616,000,000","5,559,000,000","-88,000,000",1,,"796,000,000","791,000,000",TRV
,,746000000,,621000000,1063000000,1896000000,833000000,1546214400,833000000,,-87000000,,,,125000000,7796000000,6963000000,5900000000,-87000000,1,,621000000,616000000,TRV
,,746M,,621M,1.06B,1.9B,833M,2018-12-31,833M,,-87M,,,,125M,7.8B,6.96B,5.9B,-87M,1,,621M,616M,TRV
,,"746,000,000",,"621,000,000","1,063,000,000","1,896,000,000","833,000,000",,"833,000,000",,"-87,000,000",,,,"125,000,000","7,796,000,000","6,963,000,000","5,900,000,000","-87,000,000",1,,"621,000,000","616,000,000",TRV
,,806000000,,709000000,1059000000,1951000000,892000000,1538265600,892000000,,-86000000,,,,97000000,7723000000,6831000000,5772000000,-86000000,1,,709000000,704000000,TRV
,,806M,,709M,1.06B,1.95B,892M,2018-09-30,892M,,-86M,,,,97M,7.72B,6.83B,5.77B,-86M,1,,709M,704M,TRV
,,"806,000,000",,"709,000,000","1,059,000,000","1,951,000,000","892,000,000",,"892,000,000",,"-86,000,000",,,,"97,000,000","7,723,000,000","6,831,000,000","5,772,000,000","-86,000,000",1,,"709,000,000","704,000,000",TRV
,,352000000,,281200000,223900000,848400000,394600000,1561852800,394600000,229900000,-42600000,,,,70800000,3016700000,2622100000,2168300000,-42600000,1,,281200000,281200000,UNM
,,352M,,281.2M,223.9M,848.4M,394.6M,2019-06-30,394.6M,229.9M,-42.6M,,,,70.8M,3.02B,2.62B,2.17B,-42.6M,1,,281.2M,281.2M,UNM
,,"352,000,000",,"281,200,000","223,900,000","848,400,000","394,600,000",,"394,600,000","229,900,000","-42,600,000",,,,"70,800,000","3,016,700,000","2,622,100,000","2,168,300,000","-42,600,000",1,,"281,200,000","281,200,000",UNM
,,353300000,,280900000,226500000,859800000,395400000,1553990400,395400000,237900000,-42100000,,,,72400000,2987600000,2592200000,2127800000,-42100000,1,,280900000,280900000,UNM
,,353.3M,,280.9M,226.5M,859.8M,395.4M,2019-03-31,395.4M,237.9M,-42.1M,,,,72.4M,2.99B,2.59B,2.13B,-42.1M,1,,280.9M,280.9M,UNM
,,"353,300,000",,"280,900,000","226,500,000","859,800,000","395,400,000",,"395,400,000","237,900,000","-42,100,000",,,,"72,400,000","2,987,600,000","2,592,200,000","2,127,800,000","-42,100,000",1,,"280,900,000","280,900,000",UNM
,,309700000,,249100000,219800000,804800000,351700000,1546214400,351700000,233300000,-42000000,,,,60600000,2880800000,2529100000,2076000000,-42000000,1,,249100000,249100000,UNM
,,309.7M,,249.1M,219.8M,804.8M,351.7M,2018-12-31,351.7M,233.3M,-42M,,,,60.6M,2.88B,2.53B,2.08B,-42M,1,,249.1M,249.1M,UNM
,,"309,700,000",,"249,100,000","219,800,000","804,800,000","351,700,000",,"351,700,000","233,300,000","-42,000,000",,,,"60,600,000","2,880,800,000","2,529,100,000","2,076,000,000","-42,000,000",1,,"249,100,000","249,100,000",UNM
,,-377800000,,-284700000,224200000,102000000,-335100000,1538265600,-335100000,212900000,-42700000,,,,-93100000,2927800000,3262900000,2825800000,-42700000,1,,-284700000,-284700000,UNM
,,-377.8M,,-284.7M,224.2M,102M,-335.1M,2018-09-30,-335.1M,212.9M,-42.7M,,,,-93.1M,2.93B,3.26B,2.83B,-42.7M,1,,-284.7M,-284.7M,UNM
,,"-377,800,000",,"-284,700,000","224,200,000","102,000,000","-335,100,000",,"-335,100,000","212,900,000","-42,700,000",,,,"-93,100,000","2,927,800,000","3,262,900,000","2,825,800,000","-42,700,000",1,,"-284,700,000","-284,700,000",UNM
,,187000000,142000000,138000000,63000000,830000000,236000000,1561852800,236000000,349000000,-56000000,,,,38000000,2048000000,1812000000,1218000000,-49000000,1,,149000000,138000000,WLTW
,,187M,142M,138M,63M,830M,236M,2019-06-30,236M,349M,-56M,,,,38M,2.05B,1.81B,1.22B,-49M,1,,149M,138M,WLTW
,,"187,000,000","142,000,000","138,000,000","63,000,000","830,000,000","236,000,000",,"236,000,000","349,000,000","-56,000,000",,,,"38,000,000","2,048,000,000","1,812,000,000","1,218,000,000","-49,000,000",1,,"149,000,000","138,000,000",WLTW
,,360000000,150000000,287000000,61000000,1023000000,424000000,1553990400,424000000,357000000,-54000000,,,,67000000,2312000000,1888000000,1289000000,-64000000,1,,293000000,287000000,WLTW
,,360M,150M,287M,61M,1.02B,424M,2019-03-31,424M,357M,-54M,,,,67M,2.31B,1.89B,1.29B,-64M,1,,293M,287M,WLTW
,,"360,000,000","150,000,000","287,000,000","61,000,000","1,023,000,000","424,000,000",,"424,000,000","357,000,000","-54,000,000",,,,"67,000,000","2,312,000,000","1,888,000,000","1,289,000,000","-64,000,000",1,,"293,000,000","287,000,000",WLTW
,,477000000,145000000,378000000,295000000,1202000000,587000000,1546214400,587000000,139000000,-54000000,,,,94000000,2372000000,1785000000,1170000000,-110000000,1,,383000000,378000000,WLTW
,,477M,145M,378M,295M,1.2B,587M,2018-12-31,587M,139M,-54M,,,,94M,2.37B,1.78B,1.17B,-110M,1,,383M,378M,WLTW
,,"477,000,000","145,000,000","378,000,000","295,000,000","1,202,000,000","587,000,000",,"587,000,000","139,000,000","-54,000,000",,,,"94,000,000","2,372,000,000","1,785,000,000","1,170,000,000","-110,000,000",1,,"383,000,000","378,000,000",WLTW
,,36000000,141000000,44000000,295000000,698000000,144000000,1538265600,144000000,374000000,-51000000,,,,-10000000,1859000000,1715000000,1161000000,-108000000,1,,46000000,44000000,WLTW
,,36M,141M,44M,295M,698M,144M,2018-09-30,144M,374M,-51M,,,,-10M,1.86B,1.72B,1.16B,-108M,1,,46M,44M,WLTW
,,"36,000,000","141,000,000","44,000,000","295,000,000","698,000,000","144,000,000",,"144,000,000","374,000,000","-51,000,000",,,,"-10,000,000","1,859,000,000","1,715,000,000","1,161,000,000","-108,000,000",1,,"46,000,000","44,000,000",WLTW
,,421000000,,363000000,,506000000,506000000,1561852800,506000000,,-70000000,,,,58000000,4310000000,3804000000,3804000000,-85000000,1,,363000000,363000000,LNC
,,421M,,363M,,506M,506M,2019-06-30,506M,,-70M,,,,58M,4.31B,3.8B,3.8B,-85M,1,,363M,363M,LNC
,,"421,000,000",,"363,000,000",,"506,000,000","506,000,000",,"506,000,000",,"-70,000,000",,,,"58,000,000","4,310,000,000","3,804,000,000","3,804,000,000","-85,000,000",1,,"363,000,000","363,000,000",LNC
,,268000000,,252000000,,354000000,354000000,1553990400,354000000,,-71000000,,,,16000000,3965000000,3611000000,3611000000,-86000000,1,,252000000,252000000,LNC
,,268M,,252M,,354M,354M,2019-03-31,354M,,-71M,,,,16M,3.96B,3.61B,3.61B,-86M,1,,252M,252M,LNC
,,"268,000,000",,"252,000,000",,"354,000,000","354,000,000",,"354,000,000",,"-71,000,000",,,,"16,000,000","3,965,000,000","3,611,000,000","3,611,000,000","-86,000,000",1,,"252,000,000","252,000,000",LNC
,,467000000,,399000000,2418000000,3412000000,588000000,1546214400,588000000,397000000,-69000000,,,,68000000,4531000000,3943000000,1119000000,-121000000,1,,399000000,399000000,LNC
,,467M,,399M,2.42B,3.41B,588M,2018-12-31,588M,397M,-69M,,,,68M,4.53B,3.94B,1.12B,-121M,1,,399M,399M,LNC
,,"467,000,000",,"399,000,000","2,418,000,000","3,412,000,000","588,000,000",,"588,000,000","397,000,000","-69,000,000",,,,"68,000,000","4,531,000,000","3,943,000,000","1,119,000,000","-121,000,000",1,,"399,000,000","399,000,000",LNC
,,532000000,,490000000,2418000000,629000000,629000000,1538265600,629000000,397000000,-69000000,,,,42000000,4264000000,3635000000,3635000000,-97000000,1,,490000000,490000000,LNC
,,532M,,490M,2.42B,629M,629M,2018-09-30,629M,397M,-69M,,,,42M,4.26B,3.63B,3.63B,-97M,1,,490M,490M,LNC
,,"532,000,000",,"490,000,000","2,418,000,000","629,000,000","629,000,000",,"629,000,000","397,000,000","-69,000,000",,,,"42,000,000","4,264,000,000","3,635,000,000","3,635,000,000","-97,000,000",1,,"490,000,000","490,000,000",LNC
,,275000000,2880000000,249000000,1224000000,1670000000,446000000,1561852800,446000000,,-164000000,,,,50000000,3623000000,3177000000,1953000000,-171000000,1,,225000000,249000000,L
,,275M,2.88B,249M,1.22B,1.67B,446M,2019-06-30,446M,,-164M,,,,50M,3.62B,3.18B,1.95B,-171M,1,,225M,249M,L
,,"275,000,000","2,880,000,000","249,000,000","1,224,000,000","1,670,000,000","446,000,000",,"446,000,000",,"-164,000,000",,,,"50,000,000","3,623,000,000","3,177,000,000","1,953,000,000","-171,000,000",1,,"225,000,000","249,000,000",L
,,508000000,2865000000,394000000,1146000000,1798000000,652000000,1553990400,652000000,,-141000000,,,,112000000,3757000000,3105000000,1959000000,-144000000,1,,396000000,394000000,L
,,508M,2.87B,394M,1.15B,1.8B,652M,2019-03-31,652M,,-141M,,,,112M,3.76B,3.1B,1.96B,-144M,1,,396M,394M,L
,,"508,000,000","2,865,000,000","394,000,000","1,146,000,000","1,798,000,000","652,000,000",,"652,000,000",,"-141,000,000",,,,"112,000,000","3,757,000,000","3,105,000,000","1,959,000,000","-144,000,000",1,,"396,000,000","394,000,000",L
,,-232000000,2868000000,-165000000,515000000,427000000,-88000000,1546214400,-88000000,,-144000000,,,,-21000000,3287000000,3375000000,2860000000,-144000000,1,,-211000000,-165000000,L
,,-232M,2.87B,-165M,515M,427M,-88M,2018-12-31,-88M,,-144M,,,,-21M,3.29B,3.38B,2.86B,-144M,1,,-211M,-165M,L
,,"-232,000,000","2,868,000,000","-165,000,000","515,000,000","427,000,000","-88,000,000",,"-88,000,000",,"-144,000,000",,,,"-21,000,000","3,287,000,000","3,375,000,000","2,860,000,000","-144,000,000",1,,"-211,000,000","-165,000,000",L
,,354000000,2934000000,278000000,1441000000,1959000000,518000000,1538265600,518000000,,-146000000,,,,65000000,3608000000,3090000000,1649000000,-164000000,1,,289000000,278000000,L
,,354M,2.93B,278M,1.44B,1.96B,518M,2018-09-30,518M,,-146M,,,,65M,3.61B,3.09B,1.65B,-164M,1,,289M,278M,L
,,"354,000,000","2,934,000,000","278,000,000","1,441,000,000","1,959,000,000","518,000,000",,"518,000,000",,"-146,000,000",,,,"65,000,000","3,608,000,000","3,090,000,000","1,649,000,000","-164,000,000",1,,"289,000,000","278,000,000",L
